Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 6, 6, -4000, TWO_PAIR, 7, NORMAL
2222, 20, 100, 100, -3980, FULL_HOUSE, 5, NORMAL
3333, 0, 2, 2, -4000, TWO_PAIR, 8, NORMAL
4444, 0, 52, 28, -4000, FULL_HOUSE, 6, NORMAL
5555, 0, 357, 234, -4000, FULL_HOUSE, 3, NORMAL
6666, 16180, 600, 374, 12180, STRAIGHT_FLUSH, 1, NORMAL
7777, 14280, 600, 385, 10280, FOUR_OF_A_KIND, 2, NORMAL
8888, 0, 106, 74, -4000, FULL_HOUSE, 4, NORMAL
